,path,file_name,path_OD,path_OC,disc_center,tag,dataset,shape,path_OD_png,path_OC_png
84,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/images/Glaucoma/g0035.jpg,g0035.jpg,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Glaucoma/g0035.bmp,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Glaucoma/g0035.bmp,"(-99, -99)",Glaucoma,refuge,"(2056, 2124, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Glaucoma/g0035_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Glaucoma/g0035_OC_img.png
85,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/images/Glaucoma/g0036.jpg,g0036.jpg,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Glaucoma/g0036.bmp,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Glaucoma/g0036.bmp,"(-99, -99)",Glaucoma,refuge,"(2056, 2124, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Glaucoma/g0036_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Glaucoma/g0036_OC_img.png
86,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/images/Glaucoma/g0037.jpg,g0037.jpg,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Glaucoma/g0037.bmp,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Glaucoma/g0037.bmp,"(-99, -99)",Glaucoma,refuge,"(2056, 2124, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Glaucoma/g0037_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Glaucoma/g0037_OC_img.png
87,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/images/Glaucoma/g0038.jpg,g0038.jpg,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Glaucoma/g0038.bmp,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Glaucoma/g0038.bmp,"(-99, -99)",Glaucoma,refuge,"(2056, 2124, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Glaucoma/g0038_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Glaucoma/g0038_OC_img.png
88,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/images/Glaucoma/g0039.jpg,g0039.jpg,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Glaucoma/g0039.bmp,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Glaucoma/g0039.bmp,"(-99, -99)",Glaucoma,refuge,"(2056, 2124, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Glaucoma/g0039_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Glaucoma/g0039_OC_img.png
89,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/images/Glaucoma/g0040.jpg,g0040.jpg,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Glaucoma/g0040.bmp,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Glaucoma/g0040.bmp,"(-99, -99)",Glaucoma,refuge,"(2056, 2124, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Glaucoma/g0040_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Glaucoma/g0040_OC_img.png
90,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/images/Normal/n0001.jpg,n0001.jpg,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0001.bmp,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0001.bmp,"(-99, -99)",Normal,refuge,"(2056, 2124, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0001_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0001_OC_img.png
91,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/images/Normal/n0002.jpg,n0002.jpg,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0002.bmp,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0002.bmp,"(-99, -99)",Normal,refuge,"(2056, 2124, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0002_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0002_OC_img.png
92,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/images/Normal/n0003.jpg,n0003.jpg,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0003.bmp,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0003.bmp,"(-99, -99)",Normal,refuge,"(2056, 2124, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0003_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0003_OC_img.png
93,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/images/Normal/n0004.jpg,n0004.jpg,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0004.bmp,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0004.bmp,"(-99, -99)",Normal,refuge,"(2056, 2124, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0004_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0004_OC_img.png
94,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/images/Normal/n0005.jpg,n0005.jpg,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0005.bmp,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0005.bmp,"(-99, -99)",Normal,refuge,"(2056, 2124, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0005_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0005_OC_img.png
95,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/images/Normal/n0006.jpg,n0006.jpg,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0006.bmp,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0006.bmp,"(-99, -99)",Normal,refuge,"(2056, 2124, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0006_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0006_OC_img.png
96,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/images/Normal/n0007.jpg,n0007.jpg,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0007.bmp,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0007.bmp,"(-99, -99)",Normal,refuge,"(2056, 2124, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0007_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0007_OC_img.png
97,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/images/Normal/n0008.jpg,n0008.jpg,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0008.bmp,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0008.bmp,"(-99, -99)",Normal,refuge,"(2056, 2124, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0008_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0008_OC_img.png
98,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/images/Normal/n0009.jpg,n0009.jpg,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0009.bmp,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0009.bmp,"(-99, -99)",Normal,refuge,"(2056, 2124, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0009_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0009_OC_img.png
99,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/images/Normal/n0010.jpg,n0010.jpg,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0010.bmp,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0010.bmp,"(-99, -99)",Normal,refuge,"(2056, 2124, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0010_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0010_OC_img.png
100,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/images/Normal/n0011.jpg,n0011.jpg,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0011.bmp,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0011.bmp,"(-99, -99)",Normal,refuge,"(2056, 2124, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0011_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0011_OC_img.png
101,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/images/Normal/n0012.jpg,n0012.jpg,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0012.bmp,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0012.bmp,"(-99, -99)",Normal,refuge,"(2056, 2124, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0012_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0012_OC_img.png
102,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/images/Normal/n0013.jpg,n0013.jpg,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0013.bmp,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0013.bmp,"(-99, -99)",Normal,refuge,"(2056, 2124, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0013_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0013_OC_img.png
103,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/images/Normal/n0014.jpg,n0014.jpg,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0014.bmp,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0014.bmp,"(-99, -99)",Normal,refuge,"(2056, 2124, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0014_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0014_OC_img.png
104,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/images/Normal/n0015.jpg,n0015.jpg,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0015.bmp,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0015.bmp,"(-99, -99)",Normal,refuge,"(2056, 2124, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0015_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0015_OC_img.png
105,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/images/Normal/n0016.jpg,n0016.jpg,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0016.bmp,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0016.bmp,"(-99, -99)",Normal,refuge,"(2056, 2124, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0016_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0016_OC_img.png
106,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/images/Normal/n0017.jpg,n0017.jpg,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0017.bmp,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0017.bmp,"(-99, -99)",Normal,refuge,"(2056, 2124, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0017_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0017_OC_img.png
107,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/images/Normal/n0018.jpg,n0018.jpg,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0018.bmp,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0018.bmp,"(-99, -99)",Normal,refuge,"(2056, 2124, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0018_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0018_OC_img.png
108,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/images/Normal/n0019.jpg,n0019.jpg,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0019.bmp,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0019.bmp,"(-99, -99)",Normal,refuge,"(2056, 2124, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0019_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0019_OC_img.png
109,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/images/Normal/n0020.jpg,n0020.jpg,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0020.bmp,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0020.bmp,"(-99, -99)",Normal,refuge,"(2056, 2124, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0020_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0020_OC_img.png
110,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/images/Normal/n0021.jpg,n0021.jpg,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0021.bmp,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0021.bmp,"(-99, -99)",Normal,refuge,"(2056, 2124, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0021_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0021_OC_img.png
111,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/images/Normal/n0022.jpg,n0022.jpg,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0022.bmp,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0022.bmp,"(-99, -99)",Normal,refuge,"(2056, 2124, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0022_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0022_OC_img.png
112,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/images/Normal/n0023.jpg,n0023.jpg,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0023.bmp,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0023.bmp,"(-99, -99)",Normal,refuge,"(2056, 2124, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0023_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0023_OC_img.png
113,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/images/Normal/n0024.jpg,n0024.jpg,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0024.bmp,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0024.bmp,"(-99, -99)",Normal,refuge,"(2056, 2124, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0024_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0024_OC_img.png
114,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/images/Normal/n0025.jpg,n0025.jpg,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0025.bmp,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0025.bmp,"(-99, -99)",Normal,refuge,"(2056, 2124, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0025_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0025_OC_img.png
115,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/images/Normal/n0026.jpg,n0026.jpg,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0026.bmp,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0026.bmp,"(-99, -99)",Normal,refuge,"(2056, 2124, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0026_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0026_OC_img.png
116,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/images/Normal/n0027.jpg,n0027.jpg,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0027.bmp,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0027.bmp,"(-99, -99)",Normal,refuge,"(2056, 2124, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0027_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0027_OC_img.png
117,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/images/Normal/n0028.jpg,n0028.jpg,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0028.bmp,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0028.bmp,"(-99, -99)",Normal,refuge,"(2056, 2124, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0028_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0028_OC_img.png
118,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/images/Normal/n0029.jpg,n0029.jpg,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0029.bmp,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0029.bmp,"(-99, -99)",Normal,refuge,"(2056, 2124, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0029_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0029_OC_img.png
119,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/images/Normal/n0030.jpg,n0030.jpg,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0030.bmp,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0030.bmp,"(-99, -99)",Normal,refuge,"(2056, 2124, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0030_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0030_OC_img.png
120,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/images/Normal/n0031.jpg,n0031.jpg,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0031.bmp,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0031.bmp,"(-99, -99)",Normal,refuge,"(2056, 2124, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0031_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0031_OC_img.png
121,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/images/Normal/n0032.jpg,n0032.jpg,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0032.bmp,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0032.bmp,"(-99, -99)",Normal,refuge,"(2056, 2124, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0032_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0032_OC_img.png
122,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/images/Normal/n0033.jpg,n0033.jpg,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0033.bmp,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0033.bmp,"(-99, -99)",Normal,refuge,"(2056, 2124, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0033_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0033_OC_img.png
123,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/images/Normal/n0034.jpg,n0034.jpg,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0034.bmp,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0034.bmp,"(-99, -99)",Normal,refuge,"(2056, 2124, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0034_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0034_OC_img.png
124,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/images/Normal/n0035.jpg,n0035.jpg,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0035.bmp,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0035.bmp,"(-99, -99)",Normal,refuge,"(2056, 2124, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0035_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0035_OC_img.png
125,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/images/Normal/n0036.jpg,n0036.jpg,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0036.bmp,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0036.bmp,"(-99, -99)",Normal,refuge,"(2056, 2124, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0036_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0036_OC_img.png
126,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/images/Normal/n0037.jpg,n0037.jpg,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0037.bmp,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0037.bmp,"(-99, -99)",Normal,refuge,"(2056, 2124, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0037_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0037_OC_img.png
127,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/images/Normal/n0038.jpg,n0038.jpg,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0038.bmp,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0038.bmp,"(-99, -99)",Normal,refuge,"(2056, 2124, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0038_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0038_OC_img.png
128,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/images/Normal/n0039.jpg,n0039.jpg,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0039.bmp,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0039.bmp,"(-99, -99)",Normal,refuge,"(2056, 2124, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0039_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0039_OC_img.png
129,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/images/Normal/n0040.jpg,n0040.jpg,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0040.bmp,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0040.bmp,"(-99, -99)",Normal,refuge,"(2056, 2124, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0040_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/REFUGE/gt/Normal/n0040_OC_img.png
